phase,epoch,loss,train_acc,val_f1,lr_min,lr_max
frozen,1,1.4230377176912818,0.4923780487804878,0.7318095799627146,0.0006828427124746188,0.0006828427124746188
frozen,2,1.3292208677384911,0.5304878048780488,0.6730839808760236,0.0004000000000000002,0.0004000000000000002
frozen,3,1.3174541298936053,0.542530487804878,0.7127912577757104,0.00011715728752538098,0.00011715728752538098
frozen,4,1.3136709820933459,0.5416158536585366,0.708164921648938,0.0,0.0
full,1,1.0470991810647452,0.6672256097560976,0.8126590070091466,6.932748481411306e-05,0.0003961570560806461
full,2,0.8935832350719266,0.7239329268292682,0.8837309879598512,6.733578363789494e-05,0.0003847759065022572
full,3,0.811424908405397,0.7602134146341464,0.8991323615321772,6.410143643058894e-05,0.00036629392246050903
full,4,0.8431984644110609,0.728810975609756,0.8983438506896236,5.974873734152898e-05,0.0003414213562373092
full,5,0.8420656493524226,0.7274390243902439,0.8917530067599618,5.444495815568589e-05,0.00031111404660391997
full,6,0.8198560876090352,0.7342987804878048,0.8981022468654528,4.839392013277804e-05,0.00027653668647301734
full,7,0.7514350713026233,0.7628048780487805,0.9107710026549728,4.1828161270564435e-05,0.00023901806440322502
full,8,0.7299474201551298,0.7734756097560975,0.9013721523923014,3.499999999999994e-05,0.0001999999999999994
full,9,0.7342110755966931,0.7603658536585366,0.9069685442662544,2.817183872943546e-05,0.00016098193559677384
full,10,0.7411812381046574,0.7559451219512195,0.9024746962179786,2.1606079867221834e-05,0.00012346331352698173
full,11,0.6639066808834309,0.801219512195122,0.9134501523036818,1.5555041844313905e-05,8.888595339607932e-05
full,12,0.6969459581665877,0.7734756097560975,0.9115730565985746,1.0251262658470832e-05,5.857864376269036e-05
full,13,0.6839090334932979,0.7730182926829269,0.9128612947046967,5.898563569410906e-06,3.370607753949083e-05
full,14,0.6963840036130533,0.7571646341463415,0.9051497112070247,2.66421636210496e-06,1.5224093497742635e-05
full,15,0.6722942624877138,0.78125,0.9069372154365887,6.725151858869348e-07,3.842943919353905e-06
full,16,0.6811986316268037,0.7655487804878048,0.9030943388300653,0.0,0.0
